"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","104.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","110.0","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","119.0","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","123.2","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","127.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","97.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","96.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","103.6","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","104.9","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","100.8","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","117.9","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","138.5","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","133.4","","","","1"
